Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
FMS       ;DT 118/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE FILTRO DE BARREIRA NEONATAL..;R$ 629,40;RUA JOÃO BETTEGA, 3350 - CIC.;25/05/2020;01-048358/2020;26/05/2020;29/05/2020;Empenhado
FMS       ;DT 119/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE MÁSCARA TIPO VISEIRA.;R$ 29.400,00;RUA JOÃO BETTEGA, 3350 - CIC.;26/05/2020;01-048248/2020;27/05/2020;30/05/2020;Empenhado
SMAP      ;DT 36/2020;Dispensa de Licitação - TCE;Aquisição de Mácaras Descartáveis;R$ 3.580,00;Rua Solimões, 160;27/05/2020;01-045205/2020;27/05/2020;03/06/2020;Empenhado
FMS       ;DT 122/2020;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE  EMPRESA  ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA TIPO HOSPITALAR, ASSEIO E CONSERVAÇÃO PREDIAL NA UNIDADE DE EMERGÊNCIA  PSIQUIÁTRICA IRMÃ DULCE - SECRETARIA MUNICIPAL DA SAÚDE DE CURITIBA.;R$ 227.097,79;RUA ATÍLIO BÓRIO, 668 - SAMU;28/05/2020;01-044422/2020;09/06/2020;05/12/2020;Confirmado Vencedor
FMAS      ;DT 9/2020;Dispensa de Licitação - TCE;Prestação de serviços para oferta de hospedagem/hotelaria/pernoite, para pessoas em situação de rua, na região central do município de Curitiba, com fornecimento de jantar e café da manhã, para atender a demanda junto à Fundação de Ação Social, proporcionando o isolamento social das pessoas evitando a propagação do coronavírus covid-19;R$ 1.172.160,00;CONFORME CONTRATO;28/05/2020;01-049450/2020;29/05/2020;23/01/2021;Confirmado Vencedor
FMAS      ;DT 9/2020;Dispensa de Licitação - TCE;Prestação de serviços para oferta de hospedagem/hotelaria/pernoite, para pessoas em situação de rua, na região central do município de Curitiba, com fornecimento de jantar e café da manhã, para atender a demanda junto à Fundação de Ação Social, proporcionando o isolamento social das pessoas evitando a propagação do coronavírus covid-19;R$ 1.172.160,00;CONFORME CONTRATO;28/05/2020;01-049450/2020;29/05/2020;23/01/2021;Confirmado Vencedor
FMS       ;DT 123/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE INSUMOS DE LABORATÓRIO: DETERMINAÇÃO DE DOSAGEM SÉRICA DÍMERO D. ;R$ 104.160,00;RUA PRIMO LOURENÇO TOSIN, 1021 - BAIRRO NOVO;29/05/2020;01-047500/2020;01/06/2020;04/06/2020;Empenhado
FMS       ;DT 124/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE INSUMOS DE LABORATÓRIO: DETERMINAÇÃO DE PROCALCITONINA.;R$ 87.500,00;RUA PRIMO LOURENÇO TOSIN, 1021 - NOVO MUNDO.;29/05/2020;01-047503/2020;01/06/2020;04/06/2020;Empenhado
FMS       ;DT 125/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE FILTRO DE BARREIRA NEONATAL.;R$ 629,40;RUA JOÃO BETTEGA, 3350 CIC - ALMOXARIFADO SMS;29/05/2020;01-048358/2020;01/06/2020;04/06/2020;Empenhado
FMAS      ;DT 10/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE MÁSCARAS DESCARTÁVEIS PARA SUPRIR AS DEMANDAS DE ATENDIMENTO NAS UNIDADES OFICIAIS DA FUNDAÇÃO DE AÇÃO SOCIAL.;R$ 175.000,00;Conforme empenho;01/06/2020;01-042615/2020;02/06/2020;12/06/2020;Empenhado
FMAS      ;PE 6/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE GENÊROS ALIMENTÍCIOS - PÃES, PARA SUPRIR AS DEMANDAS DAS UNIDADES DE ACOLHIMENTO INSTITUCIONAIS DA FUNDAÇÃO DE AÇÃO SOCIAL, ATRAVÉS DO SISTEMA REGISTRO DE PREÇOS.;R$ 201.950,00;CONFORME EMPENHO;01/06/2020;01-039868/2020;01/06/2020;08/07/2021;Empenhado
SME       ;DT 37/2020;Dispensa de Licitação - TCE;Serviço de segurança monitorada.;R$ 151.576,27;CONFORME LISTAGEM;01/06/2020;01-051505/2020;01/06/2020;28/12/2020;Confirmado Vencedor
FMS       ;PE 52/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAIS E UTENSÍLIOS PLÁSTICOS PARA ACONDICIONAMENTO, HIGIENE E LIMPEZA, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 78.405,00;RUA JOÃO BETTEGA, 3350 - CIDADE INDUSTRIAL - CURITIBA - PR;02/06/2020;01-043501/2020;02/06/2020;08/10/2021;Parcialmente Empenhado
FMCA      ;FN 25/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal Para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho "ATENÇÃO INTENSIFICADA:COVID-19" que tem por objetivo complementar a execução do Serviço de Acolhimento Institucional na modalidade de abrigo institucional, as necessidades básicas e excepcionais das adolescentes no contexto da pandemia coronavirus- COVID 19.;R$ 75.000,00;FAS;02/06/2020;04-020071/2020;02/06/2020;29/09/2020;Confirmado Vencedor
SME       ;DT 38/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 275.625,00;Rua General Potiguara, nº 975, Novo Mundo;02/06/2020;01-051332/2020;02/06/2020;15/06/2020;Empenhado
FMS       ;DT 131/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE GORRO DESCARTÁVEL TIPO TOUCA;R$ 19.900,00;RUA JOÃO BETTEGA, 3350 - CIC.;04/06/2020;01-052126/2020;05/06/2020;08/06/2020;Empenhado
FCC       ;IN 2/2020;Inexigibilidade de Licitação;Edital de Chamamento Público para seleção de projetos com contéudo audiovisual para difusão do programa FCC DIGITAL nas diversas áreas culturais, a ser veiculado nas redes sociais da Fundação Cultural de Curitiba.;R$ 450.000,00;Rua Engenheiros Rebouças, 1732;05/06/2020;01-035945/2020;26/06/2020;25/07/2021;Confirmado Vencedor
SMAP      ;DT 40/2020;Dispensa de Licitação - TCE;SANITIZAÇÃO, SERVIÇO, conforme especificações contidas no termo de referência. Limpeza, esterilização e sanitização de 2.640 pontos de parada de ônibus, com metragem quadrada média de 8m², totalizando 21.120 m² e com o valor previsto de R$ 2,71 m².  ;R$ 57.235,20;Rua, SOlimões, 160;10/06/2020;01-038071/2020;10/06/2020;10/07/2020;Empenhado
FMS       ;IN 9/2020;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE 02 VENTILADORES PULMONARES MARCA GE. ;R$ 40.034,06;RUA JOÃO BETTEGA, 3350 - CIC.;12/06/2020;01-060171/2020;15/06/2020;30/06/2020;Empenhado
FMS       ;PE 59/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 4.576.677,50;Rua João Bettega, 3350 - CIC - Almoxarifado SMS.;08/07/2020;01-045030/2020;15/06/2020;09/09/2021;Parcialmente Empenhado
FMS       ;DT 133/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE PONTEIRA DESCARTÁVEL AMARELA.;R$ 480,00;RUA PRIMO LOURENÇO TOSIN, 1021 - BAIRRO NOVO MUNDO.;15/06/2020;01-059211/2020;16/06/2020;19/06/2020;Empenhado
FMS       ;DT 134/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE MANTA MATERIAL ABSORVENTE.;R$ 12.000,00;RUA PRIMO LOURENÇO TOSIN, 1021 - BAIRRO NOVO MUNDO.;15/06/2020;01-053043/2020;16/06/2020;19/06/2020;Empenhado
FMAS      ;DT 11/2020;Dispensa de Licitação - TCE;Contratação de empresa para prestação de serviços de limpeza, asseio e conservação necessária para as unidades oficiais da Fundação de Ação Social, atendendo as orientações do ministério da saúde quanto ao combate da pandemia do novo coronavírus - covid19.;R$ 161.045,46;Conforme contrato;17/06/2020;01-044093/2020;19/06/2020;15/12/2020;Confirmado Vencedor
FMAS      ;DT 11/2020;Dispensa de Licitação - TCE;Contratação de empresa para prestação de serviços de limpeza, asseio e conservação necessária para as unidades oficiais da Fundação de Ação Social, atendendo as orientações do ministério da saúde quanto ao combate da pandemia do novo coronavírus - covid19.;R$ 161.045,46;Conforme contrato;17/06/2020;01-044093/2020;19/06/2020;15/12/2020;Confirmado Vencedor
FMS       ;PE 60/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE COLCHÕES HOSPITALARES, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 91.804,00;Rua João Bettega, 3350 - CIC - Almoxarifado da Sms;18/06/2020;01-043245/2020;18/06/2020;28/07/2021;Empenhado
FMS       ;DT 137/2020;Dispensa de Licitação - TCE;Aquisição de Determinação imunocromática;R$ 12.400,00;Rua Primo Lourenço;19/06/2020;01-060567/2020;22/06/2020;25/06/2020;Empenhado
FMCA      ;FN 30/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal Para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho INICIATIVA ACOLHEDORA EMERGENCIAL, que tem por objetivo garantir a medida de proteção integral no sistema de casas lares para crianças e adolescentes em situação de risco pessoal e social da cidade de Curitiba para que sejam provisionadas novas demandas emergenciais com a celeridade que o momento exige. ;R$ 150.000,00;FAS;18/06/2020;35-000332/2020;18/06/2020;17/10/2020;Confirmado Vencedor
FMCA      ;FN 31/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal Para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho SOBERANO AMOR, que tem por objetivo assegurar o atendimento integral e de qualidade às demandas e necessidades das crianças no acolhimento no período de isolamento social ocasionado pela PANDEMIA - COVID -19. ;R$ 187.500,00;FAS;18/06/2020;35-000374/2020;18/06/2020;06/06/2021;Confirmado Vencedor
FMCA      ;FN 32/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal Para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho OLHANDO PARA O FUTURO (COM ADEQUAÇÕES EMERGENCIAIS), que tem por objetivo oferecer acolhimento institucional na modalidade de abrigo institucional, mantendo integridade no atendimento, proporcionando qualidade de vida e perspectiva de futuro para as crianças acolhidas pela instituição, sobretudo neste tempo de demandas emergenciais. ;R$ 75.000,00;FAS;18/06/2020;35-000326/2020;22/06/2020;20/12/2020;Confirmado Vencedor
FMCA      ;FN 33/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal Para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho ACOLHER - ACOLHIMENTO CONJUNTO EMERGENCIAL, que tem por objetivo subsidiar o atendimento oferecido pelo serviço institucional conjunto para crianças e adolescentes e suas mães, garantindo o direito à convivência familiar e comunitária.;R$ 105.000,00;FAS;24/06/2020;35-000333/2020;24/06/2020;03/12/2020;Confirmado Vencedor
FMCA      ;FN 34/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal Para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho "Acolhimento Proteção e Amor - Emergencial", que diante da situação emergencial decorrente da COVID 19, objetiva desenvolver trabalho de acolhimento de crianças e adolescentes em situação de vulnerabilidade, em período integral, além de toda a gama de serviços de suporte como acompanhamento familiar objetivando possibilidade de reintegração a família, segurança, acompanhamento escolar, médico, odontológico, psicológico, pedagógico e esportivo e de formação;R$ 82.500,00;FAS;24/06/2020;35-000358/2020;24/06/2020;23/10/2020;Confirmado Vencedor
FMCA      ;FN 35/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho Mãos Acolhedoras, para atender crianças em situação de risco pessoal e social, cumprindo medida de proteção e acolhimento institucional, suprindo suas necessidades básicas e lhes oportunizando um ambiente acolhedor, contribuindo para o desenvolvimento pleno e saudável.;R$ 75.000,00;FAS;25/06/2020;35-000366/2020;26/06/2020;16/12/2020;Confirmado Vencedor
FMS       ;DT 142/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE SWAB, HASTE DE PLÁSTICO, PONTA DE ALGODÃO ALGINATADO.;R$ 2.200,00;RUA PRIMO LOURENÇO TOSIN, 1021.;26/06/2020;01-063931/2020;30/06/2020;03/07/2020;Empenhado
FMCA      ;FN 36/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal da Criança e do Adolescente, para a Execução do Projeto Crescendo com Sáude e Segurança, para garantir a criança acolhida no Lar Antônia um atendimento integral - Saúde e Proteção.;R$ 150.000,00;FAS;25/06/2020;35-000359/2020;26/06/2020;02/12/2020;Confirmado Vencedor
FMAS      ;DT 14/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE TENDAS COM LONA LATERAL PARA SUPRIR AS DEMANDAS DA FUNDAÇÃO DE AÇÃO SOCIAL.;R$ 30.828,00;CONFORME EMPENHO;25/06/2020;01-064093/2020;26/06/2020;27/06/2020;Empenhado
FMCA      ;FN 37/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho Demandas Intensificadas: Covid - 19, que visa complementar o atendimento das demandas básicas e excepcionais dos bebês no contexto da pandemia coronavírus - Covid - 19;R$ 56.250,00;fas;25/06/2020;35-000365/2020;26/06/2020;24/12/2020;Confirmado Vencedor
FMCA      ;FN 38/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal da Criança e do Adolescente, para a Execução Projeto Mãos Acolhedoras, que visa a continua manutenção da qualidade de vida e bem-estar, promovendo os direitos de crianças e adolescentes institucionalizados e com múltipla deficiência.;R$ 37.500,00;FAS;25/06/2020;35-000367/2020;26/06/2020;25/10/2020;Confirmado Vencedor
FMS       ;PE 64/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TENDAS PARA A SECRETARIA MUNICIPAL DA SAÚDE;R$ 28.990,00;R. João Bettega, 3350 - CIC - Almoxarifado SMS;26/06/2020;01-059193/2020;10/07/2020;25/07/2020;Empenhado
FMS       ;DT 144/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE CONECTOR Y SEM FURO COMPATÍVEL COM VENTILADOR PULMONAR MARCA LEISTUNG E TRAQUEIA EM SILICONE COMPATÍVEL COM VENTILADOR PULMONAR MARCA LEISTUNG MODELO LUFT-3.;R$ 36.500,00;RUA JOÃO BETTEGA, 3350 - CIC.;01/07/2020;01-066861/2020;02/07/2020;05/07/2020;Empenhado
FMPI      ;FN 16/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal da Pessoa Idosa, para a execução do Plano de Trabalho  PREVENÇÃO DA COVID - 19 - ASILO SÃO VICENTE DE PAULO, que visa executar o Serviço de Acolhimento Institucional para atendimento contínuo de até 150 (cento e cinquenta) pessoas idosas, do sexo feminino,  em situação de risco e social, com vínculos familiares fragilizados ou rompidos, com grau de dependência I, II e III, realizando as ações necessárias para a prevenção de COVID-19.;R$ 675.000,00;FAS;01/07/2020;35-000357/2020;01/07/2020;24/12/2020;Confirmado Vencedor
FAAC      ;DT 4/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE TERMÔMETRO INFRAVERMELHO;R$ 14.000,00;RUA CAPITÃO JOÃO BUSSE, 660 - CAJURU;08/07/2020;42-000093/2020;10/07/2020;09/08/2020;Empenhado
SME       ;DT 45/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 265.200,00;Conforme processo original;02/07/2020;01-065372/2020;02/07/2020;14/07/2020;Empenhado
FMPI      ;FN 17/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal da Pessoa Idosa, para a execução do Plano de Trabalho  Cuidados especiais e emergenciais para idosos institucionalizados,  que visa executar  o Serviço de Acolhimento Institucional para atendimento contínuo de até 85 (oitenta e cinco) pessoas idosas, do sexo masculino,  com idade acima de   60 anos, que encontram-se em situação de risco pessoal e social, com vínculos familiares fragilizados ou rompidos, proporcionando cuidado, cuidado emergencial, bem estar e melhoria da qualidade de vida dos idosos acolhidos pela instituição.;R$ 382.500,00;FAS;02/07/2020;35-000325/2020;02/07/2020;29/11/2020;Confirmado Vencedor
FMPI      ;FN 18/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal da Pessoa Idosa, para a execução do Plano de Trabalho  CASA DO VOVÔ - EMERGENCIAL,  que visa executar e qualificar o Serviço de Acolhimento Institucional para atendimento contínuo de até 20 (vinte) pessoas idosas, do sexo masculino,  com idade acima de 60 anos, em situação de vulnerabilidade ou risco pessoal e social, com vínculos familiares rompidos ou fragilizados.;R$ 90.000,00;fas;02/07/2020;04-017323/2020;02/07/2020;05/12/2020;Confirmado Vencedor
FMPI      ;FN 19/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal da Pessoa Idosa, para a execução do Plano de Trabalho  O IPC PRECISA DE VC!,  que visa executar  o Serviço de Acolhimento Institucional para atendimento contínuo de até 13 (treze) pessoas idosas, de ambos os sexos, com idade acima de   60 anos, com deficiência visual,  em situação de vulnerabilidade ou risco pessoal e social, moradores do IPC.;R$ 58.500,00;fas;02/07/2020;35-000389/2020;03/07/2020;05/12/2020;Confirmado Vencedor
FMPI      ;FN 20/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal da Pessoa Idosa, para a execução do Plano de Trabalho "Cuidados e proteção a qualidade de vida da pessoa idosa", que visa executar o  Serviço de Acolhimento Institucional para atendimento contínuo de até 33 (trinta e três) pessoas idosas, com múltiplas deficiências, com certo grau de dependência, de ambos os sexos, a partir de 60 anos de idade, garantindo qualidade de vida e desenvolvimento da pessoa idosa institucionalizada advinhas de extrema condições de vulnerabilidade social. ;R$ 148.500,00;fas;03/07/2020;35-000368/2020;03/07/2020;01/11/2020;Confirmado Vencedor
FMS       ;DT 145/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE MONITOR MULTIPARAMÉTRICO.;R$ 1.250.200,00;RUA FRANCISCO TORRES, 830 - 8º ANDAR.;03/07/2020;01-068698/2020;03/07/2020;06/07/2020;Empenhado
FMS       ;DT 146/2020;Dispensa de Licitação - TCE;CONTRATAÇÃO DE SERVIÇOS HOSPITALARES PARA DISPONIBILIZAR ACESSO A LEITOS EM UTI TIPO II ADULTO E EM LEITOS CLÍNICOS/ENFERMARIA ADULTO, AOS USUÁRIOS DO SUS, PARA INTERNAMENTO EXCLUSIVO DE PACIENTES COM QUADRO SUSPEITO OU CONFIRMADO DE INFECÇÃO POR CORONAVÍRUS- COVID-19 AO SISTEMA ÚNICO DE SAÚDE - SUS/CURITIBA.;R$ 1.111.500,00;FRANCISCO TORRES 830 - 5º ANDAR - DAS;03/07/2020;01-066508/2020;03/07/2020;28/05/2021;Confirmado Vencedor
FMS       ;DT 147/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE AZITROMICINA 500MG.;R$ 57.500,00;RUA JOÃO BETTEGA, 3350 - CIC.;06/07/2020;01-068512/2020;07/07/2020;10/07/2020;Empenhado
FMS       ;DT 149/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE JARRA DE ANAEROBIOSE.;R$ 1.116,00;RUA PRIMO LOURENÇO TOSIN, 1021;06/07/2020;01-067926/2020;07/07/2020;10/07/2020;Empenhado
FMS       ;DT 150/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE D DIMERO REAGENTE.;R$ 368.900,00;RUA PRIMO LOURENÇO TOSIN, 1021.;06/07/2020;01-067895/2020;07/07/2020;10/07/2020;Empenhado
SMAP      ;DT 46/2020;Dispensa de Licitação - TCE;Aquisição de produtos sanitizante, máquinas aplicadoras e equipamentos de proteção individual para serviços de higienização e desinfecção nos ônibus so Sistema de Transporte de Curitiba. ;R$ 71.113,60;rua solimoes 160;06/07/2020;01-065154/2020;07/07/2020;10/07/2020;Empenhado
FMAS      ;DT 15/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE MATERIAL DE CONSUMO PARA A CONFECÇÃO DE ESCUDOS DE PROTEÇÃO PARA EVITAR A PROPAGAÇÃO DA DOENÇA - CORONAVÍRUS COVID19 NAS UNIDADES DA FUNDAÇÃO DE AÇÃO SOCIAL.;R$ 13.500,00;CONFORME EMPENHO;06/07/2020;01-066215/2020;07/07/2020;17/07/2020;Empenhado
FMCA      ;FN 55/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal Para Criança e o Adolescente, por dispensa de chamamento público, conforme Resolução nº50/2020 e 144/2020- COMTIBA, para desenvolver o plano de trabalho VIDAS RESTAURADAS I - AÇÃO EMERGENCIAL, que tem por objetivo proporcionar as crianças e adolescentes acolhidos, o atendimento necessário e condizente com as necessidades emanadas no período de calamidade em razão da pandemia do COVID-19;R$ 187.500,00;FAS;07/07/2020;35-000372/2020;07/07/2020;03/11/2020;Confirmado Vencedor
SMAP      ;DT 47/2020;Dispensa de Licitação - TCE;Aquisição de rolos de Elástico Aurata com furos para regulagem. ;R$ 708,68;Rua Solimões, 160;08/07/2020;01-065142/2020;09/07/2020;19/07/2020;Empenhado
FMAS      ;FN 9/2020;Financeiro;Desenvolver  o Plano de Trabalho denominado Acolhimento Institucional: espaço de proteção, o qual visa proporcionar proteção integral a pessoas adultas em situação de rua, em vulnerabilidade e risco social decorrente do uso, abuso e dependência de substâncias psicoativas: álcool e outras drogas, na faixa etária de 18 a 59 anos de idade, por meio da execução do Serviço de Acolhimento Institucional na modalidade Abrigo Institucional.  ;R$ 172.800,00;FAS;07/07/2020;35-000134/2020;07/07/2020;07/07/2024;Confirmado Vencedor
FMAS      ;FN 9/2020;Financeiro;Desenvolver  o Plano de Trabalho denominado Acolhimento Institucional: espaço de proteção, o qual visa proporcionar proteção integral a pessoas adultas em situação de rua, em vulnerabilidade e risco social decorrente do uso, abuso e dependência de substâncias psicoativas: álcool e outras drogas, na faixa etária de 18 a 59 anos de idade, por meio da execução do Serviço de Acolhimento Institucional na modalidade Abrigo Institucional.  ;R$ 172.800,00;FAS;07/07/2020;35-000134/2020;07/07/2020;07/07/2024;Confirmado Vencedor
FMAS      ;FN 10/2020;Financeiro;Desenvolver  o Plano de Trabalho denominado Restabelecendo o Valor da Vida 2, o qual visa executar o serviço de acolhimento na modalidade abrigo institucional de pessoas adultas do sexo feminino, incluindo mulheres gestantes, na faixa etária de 18 a 59 anos de idade, em situação de rua, em vulnerabilidade e risco social decorrentes do uso, abuso e dependência de substâncias psicoativas: álcool e outras drogas, no Mosteiro Monte Carmelo - CSS Maria Augusta, em Curitiba/PR.  ;R$ 576.000,00;fas;07/07/2020;35-000130/2020;07/07/2020;07/07/2024;Confirmado Vencedor
FMAS      ;FN 10/2020;Financeiro;Desenvolver  o Plano de Trabalho denominado Restabelecendo o Valor da Vida 2, o qual visa executar o serviço de acolhimento na modalidade abrigo institucional de pessoas adultas do sexo feminino, incluindo mulheres gestantes, na faixa etária de 18 a 59 anos de idade, em situação de rua, em vulnerabilidade e risco social decorrentes do uso, abuso e dependência de substâncias psicoativas: álcool e outras drogas, no Mosteiro Monte Carmelo - CSS Maria Augusta, em Curitiba/PR.  ;R$ 576.000,00;fas;07/07/2020;35-000130/2020;07/07/2020;07/07/2024;Confirmado Vencedor
FMAS      ;FN 11/2020;Financeiro;Desenvolver  o Plano de Trabalho denominado Restabelecendo o Valor da Vida 1, o qual visa executar o serviço de acolhimento na modalidade abrigo institucional de pessoas adultas do sexo masculino, na faixa etária de 18 a 59 anos de idade, em situação de rua, em vulnerabilidade e risco social decorrente do uso, abuso e dependência de substâncias psicoativas: álcool e outras drogas, no Mosteiro Monte Carmelo - CSS Frei Chico, em Curitiba/PR e no Mosteiro Monte Carmelo - Casa da Misericórdia, no município de Contenda/PR.  ;R$ 1.238.400,00;FAS;07/07/2020;35-000132/2020;07/07/2020;07/07/2024;Confirmado Vencedor
FMAS      ;FN 11/2020;Financeiro;Desenvolver  o Plano de Trabalho denominado Restabelecendo o Valor da Vida 1, o qual visa executar o serviço de acolhimento na modalidade abrigo institucional de pessoas adultas do sexo masculino, na faixa etária de 18 a 59 anos de idade, em situação de rua, em vulnerabilidade e risco social decorrente do uso, abuso e dependência de substâncias psicoativas: álcool e outras drogas, no Mosteiro Monte Carmelo - CSS Frei Chico, em Curitiba/PR e no Mosteiro Monte Carmelo - Casa da Misericórdia, no município de Contenda/PR.  ;R$ 1.238.400,00;FAS;07/07/2020;35-000132/2020;07/07/2020;07/07/2024;Confirmado Vencedor
FMAS      ;FN 12/2020;Financeiro;: Desenvolver  o Plano de Trabalho denominado ACOLHIMENTO INSTITUCIONAL NOVA VIDA, o qual visa oferecer Serviço de Acolhimento Institucional na modalidade Abrigo Institucional, para adultos masculinos que estejam em situação de vulnerabilidade, risco pessoal e social, por situação de desabrigo, que apresentem ou não dependência de substâncias psicoativas, promovendo a reintegração deles na construção de novos projetos de vida, resgate de vínculos familiares, incentivo e construção de autonomia e emancipação pessoal dos usuários.  ;R$ 288.000,00;FAS;07/07/2020;35-000131/2020;07/07/2020;07/07/2024;Confirmado Vencedor
FMAS      ;FN 12/2020;Financeiro;: Desenvolver  o Plano de Trabalho denominado ACOLHIMENTO INSTITUCIONAL NOVA VIDA, o qual visa oferecer Serviço de Acolhimento Institucional na modalidade Abrigo Institucional, para adultos masculinos que estejam em situação de vulnerabilidade, risco pessoal e social, por situação de desabrigo, que apresentem ou não dependência de substâncias psicoativas, promovendo a reintegração deles na construção de novos projetos de vida, resgate de vínculos familiares, incentivo e construção de autonomia e emancipação pessoal dos usuários.  ;R$ 288.000,00;FAS;07/07/2020;35-000131/2020;07/07/2020;07/07/2024;Confirmado Vencedor
